fname,xtl,ytl,xbr,ybr,plate
1.jpg,1318,537,2015,704,SCZ26114
10.jpg,2095,388,2523,498,SK404XK
100.jpg,1549,636,1771,699,SK321LE
101.jpg,1268,679,1631,790,STA0461C
102.jpg,1121,683,1419,772,SZA92043
103.jpg,1282,661,1601,744,SJZJN07
104.jpg,1619,657,1886,731,SJZJN07
105.jpg,1279,705,1610,811,SJ6479A
106.jpg,916,650,1236,759,SH9264A
107.jpg,1468,652,1837,754,SH4831C
108.jpg,1124,698,1503,806,SW58471
109.jpg,1811,695,2143,778,SW58471
11.jpg,1807,400,2212,525,SL83861
110.jpg,1237,674,1665,778,SLU7XA8
111.jpg,1340,660,1667,750,KR5CV17
112.jpg,1576,641,1804,700,SH9337C
113.jpg,1383,678,1771,786,SBL63894
114.jpg,1290,689,1720,808,SBE48JU
115.jpg,1175,615,1277,650,CRY4R84
116.jpg,1138,669,1381,766,S00773X
117.jpg,1659,754,1954,837,SK8843W
118.jpg,997,682,1292,784,SK5682A
119.jpg,1304,655,1637,750,SO6321W
12.jpg,1496,421,1893,544,SK293VV
120.jpg,1648,658,1909,730,SM79962
121.jpg,715,634,946,724,SK179VE
122.jpg,748,680,1098,802,KTTRJ07
123.jpg,1186,678,1496,765,SK1067S
124.jpg,1269,656,1551,741,SW55815
125.jpg,1768,647,1990,709,SBE1515G
126.jpg,1873,685,2220,774,SJ7749E
127.jpg,1497,640,1716,700,STA5468C
128.jpg,1872,658,2111,715,SL94455
129.jpg,1577,682,1948,786,SBE3218G
13.jpg,2167,351,2529,457,SL0457H
130.jpg,1380,644,1691,735,SK807WM
131.jpg,1422,653,1749,739,SL98181
132.jpg,1345,642,1658,728,SMY01258
133.jpg,1283,660,1592,753,SW60961
134.jpg,1773,629,2052,700,ST2105K
135.jpg,823,693,1119,799,SG0580W
136.jpg,1128,695,1429,801,SZ95471
137.jpg,1446,695,1714,772,ST6666U
138.jpg,1404,660,1722,748,SZO99CK
139.jpg,1486,700,1813,792,SMI36115
14.jpg,2026,357,2540,496,SK286XX
140.jpg,1163,669,1477,762,SH7788A
141.jpg,1527,652,1826,733,S7JM7
142.jpg,898,662,1145,752,ST5630V
143(1).jpg,1050,612,1141,636,SO0665L
143.jpg,1051,612,1141,635,SO0665L
144.jpg,1390,660,1693,747,STA1392C
145.jpg,1388,642,1653,727,SO7183K
146.jpg,1395,697,1721,796,SK289PU
147.jpg,854,805,1187,916,SK145YT
148.jpg,923,741,1003,764,SO68659
149.jpg,1601,807,1854,876,ST8055V
15.jpg,1749,394,2131,499,KOS8900E
150.jpg,908,798,1201,904,SPI19846
151.jpg,1507,814,1737,881,SG287AT
152.jpg,1203,815,1548,918,STA7109C
153.jpg,963,801,1292,892,SJ7912C
154.jpg,1092,839,1413,935,SG2947W
155.jpg,1377,790,1689,874,SG526CF
156.jpg,1481,779,1835,865,SK8056K
157.jpg,992,766,1346,874,SB983FF
158.jpg,1136,803,1452,892,SH9435C
159.jpg,1583,815,1859,888,SK743MW
16.jpg,1940,366,2311,482,SL2592F
160.jpg,1585,766,1831,828,SC3222P
161.jpg,1209,821,1545,925,WBR6P58
162.jpg,806,810,1138,930,SBE46085
163.jpg,1534,757,1818,839,SK988PP
164.jpg,1154,808,1415,877,SI64042
165.jpg,1067,784,1318,865,SMI29210
166.jpg,1306,835,1667,938,SL7185E
167.jpg,1238,761,1490,850,KOS4V97
168.jpg,1663,759,1897,821,SG9892X
169.jpg,941,772,1151,861,STAGA81
17.jpg,1949,566,2377,699,SCZ26114
170.jpg,1120,777,1485,885,SMI39019
171.jpg,765,779,1076,901,SCI2827J
172.jpg,1143,819,1508,928,SZA7964E
173.jpg,1147,750,1426,839,SK959YF
174.jpg,692,762,935,852,SL1426H
175.jpg,1539,788,1811,868,SK440AY
176.jpg,1266,779,1567,870,ST7736G
177.jpg,1129,816,1444,901,SR1279L
178.jpg,1578,779,1871,847,SR7916L
179.jpg,1603,821,1878,881,SM78958
18.jpg,1911,381,2273,473,SL3458H
180.jpg,1414,767,1619,816,SJ4104C
181.jpg,1569,821,1770,867,STA5950A
182.jpg,1565,814,1861,889,STA2L80
183.jpg,1050,795,1389,884,SGLWF71
184.jpg,1423,783,1783,867,SR8817P
185.jpg,1258,820,1538,902,SD4350J
186.jpg,1028,741,1116,770,STA67KF
187.jpg,1293,773,1648,864,SZ2805M
188.jpg,1664,806,1883,850,SGLTK91
189.jpg,1075,822,1465,927,SG0575J
19.jpg,1752,398,2110,506,SJ3132A
190.jpg,1047,806,1333,886,SPI16111
191.jpg,1166,746,1501,838,KOL21767
192.jpg,1331,807,1593,879,SMY5HP6
193.jpg,1523,815,1793,887,SPS85295
194.jpg,1165,804,1415,883,ST47026
2.jpg,2705,230,3269,387,SK028SE
20.jpg,1659,418,2001,503,SL2702J
21.jpg,1894,555,2261,665,SK131NF
22.jpg,1813,425,2196,518,SK971JF
23.jpg,1753,439,2151,547,KOL27308
24.jpg,1870,387,2237,474,KR3UH61
25.jpg,2133,560,2504,673,SB3320U
26.jpg,1821,401,2234,509,ST2232L
27.jpg,1807,375,2211,476,STA0211F
28.jpg,1768,444,2157,541,SRBKR79
29.jpg,1800,356,2177,451,SO5220X
3.jpg,2085,291,2645,457,SZA1837C
30.jpg,1911,399,2302,503,SZO6KU4
31.jpg,1879,431,2306,548,SK468VU
32.jpg,1934,384,2322,491,SMI03L9
33.jpg,2337,351,2765,480,SK713VL
34.jpg,2188,330,2659,469,SR6510F
35.jpg,2214,433,2442,535,L45H
36.jpg,1970,370,2369,498,STA97759
37.jpg,2079,392,2422,503,SBE9327E
38.jpg,1876,385,2249,494,SZ9068J
39.jpg,2026,407,2439,531,SMI19778
4.jpg,1705,247,2374,439,ST8055V
40.jpg,2758,274,3395,489,SBL58012
41.jpg,2167,394,2589,524,ST0807U
42.jpg,2065,352,2465,487,SCI91903
