epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0649,1.64855,4.82537,1.33354,0.00316,0.94872,0.00657,0.00371,1.25547,4.03826,0.9479,0.00018,0.00018,0.00018
2,59.2593,1.21151,2.26873,0.96185,0.00325,0.97436,0.00724,0.00432,1.03231,3.84669,0.88922,0.00036119,0.00036119,0.00036119
3,88.2899,1.08935,1.71108,0.92318,0.00316,0.94872,0.16148,0.116,1.07015,3.77155,0.9104,0.00052258,0.00052258,0.00052258
4,117.376,1.09587,1.49564,0.93758,0.00316,0.94872,0.00833,0.0052,1.05664,3.76573,0.93616,0.00066417,0.00066417,0.00066417
5,146.437,1.10168,1.49178,0.93619,0.00308,0.92308,0.00821,0.00525,1.16164,3.67124,0.98026,0.00078596,0.00078596,0.00078596
6,175.55,1.08881,1.39599,0.93272,0.00316,0.94872,0.38289,0.27918,1.03515,3.32097,0.96597,0.00088795,0.00088795,0.00088795
7,204.65,1.06587,1.32732,0.92411,0.00333,1,0.56531,0.39361,1.10258,3.36967,1.03499,0.00097014,0.00097014,0.00097014
8,233.851,1.00939,1.21119,0.91253,1,0.42681,0.94449,0.72951,1.0314,2.52462,0.97673,0.00103253,0.00103253,0.00103253
9,263.151,0.93854,1.22262,0.93338,1,0.20622,0.94541,0.69135,1.08629,2.71322,0.99614,0.00107512,0.00107512,0.00107512
10,292.256,0.94128,1.17727,0.89925,0.98556,0.94872,0.99326,0.70907,1.13216,1.96331,1.01875,0.00109791,0.00109791,0.00109791
11,321.178,0.90564,1.46325,0.93594,0.99252,0.94872,0.97746,0.73875,1.03736,2.05787,0.99072,0.00101,0.00101,0.00101
12,349.98,0.86756,1.34488,0.91218,1,0.94031,0.94532,0.70193,1.07931,1.97013,1.0309,0.000911,0.000911,0.000911
13,378.886,0.85704,1.25396,0.89672,0.99922,0.94872,0.94668,0.69399,1.09607,1.86993,1.05036,0.000812,0.000812,0.000812
14,407.557,0.88679,1.21688,0.9343,1,0.96906,0.995,0.73587,1.09238,1.28113,1.03973,0.000713,0.000713,0.000713
15,436.241,0.8908,1.20688,0.91396,0.99888,0.94872,0.99375,0.73855,1.07046,1.23345,1.03322,0.000614,0.000614,0.000614
16,465.156,0.79103,1.11245,0.89835,0.97472,0.9888,0.99375,0.75329,1.02651,1.04973,1.01664,0.000515,0.000515,0.000515
17,493.801,0.86654,1.08934,0.88584,1,0.97204,0.9945,0.76789,0.97489,1.02848,0.99515,0.000416,0.000416,0.000416
18,522.621,0.80065,1.0599,0.90842,0.9727,1,0.99375,0.76395,0.95877,0.98174,0.98602,0.000317,0.000317,0.000317
19,551.424,0.77696,1.06172,0.86682,0.97245,1,0.99375,0.75994,0.9414,0.9628,0.97515,0.000218,0.000218,0.000218
20,580.271,0.77013,1.06595,0.88375,0.97284,1,0.99375,0.7538,0.95383,0.92155,0.97587,0.000119,0.000119,0.000119
