epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16877,2.53025,6.44755,1.79445,0,0,0,0,1.40566,4.42437,1.39424,0.00014,0.00014,0.00014
2,5.14299,1.44048,4.03744,1.11254,0.00282,0.84615,0.00565,0.00245,1.17317,3.98723,1.06333,0.000297525,0.000297525,0.000297525
3,6.9549,1.19876,2.22559,0.99556,0.00274,0.82051,0.00694,0.00252,1.2467,4.01777,1.10699,0.00045241,0.00045241,0.00045241
4,8.57595,1.21878,1.9828,0.98976,0.00282,0.84615,0.00725,0.0037,1.0271,3.9566,0.97785,0.000604655,0.000604655,0.000604655
5,10.0152,1.1367,1.77281,0.97658,0.00299,0.89744,0.00729,0.00368,0.98973,3.88479,0.98438,0.00075426,0.00075426,0.00075426
6,11.4573,1.11161,1.69087,0.99243,0.00308,0.92308,0.00648,0.00293,0.99624,3.78121,1.01157,0.000901225,0.000901225,0.000901225
7,13.275,1.05544,1.54482,0.98386,0.00308,0.92308,0.00628,0.00323,0.8918,3.83539,1.00706,0.00104555,0.00104555,0.00104555
8,14.7234,1.12101,1.49776,0.96692,0.00316,0.94872,0.00764,0.00489,0.98058,3.63564,1.03484,0.00118724,0.00118724,0.00118724
9,16.191,1.10784,1.42568,0.96783,0.00316,0.94872,0.01186,0.00804,0.93849,5.16086,0.99966,0.00132628,0.00132628,0.00132628
10,17.64,0.9692,1.33649,0.93581,0.00316,0.94872,0.0254,0.01795,1.01362,3.38779,1.08814,0.00146269,0.00146269,0.00146269
11,19.0986,1.01974,1.27258,0.9808,0.42153,0.87179,0.44256,0.29426,1.15485,2.94871,1.15404,0.00159645,0.00159645,0.00159645
12,20.6236,1.11618,1.35282,0.99944,0.26588,0.65013,0.26836,0.18904,0.97316,2.80277,1.05321,0.00172757,0.00172757,0.00172757
13,22.011,0.97187,1.22606,0.93719,0.37755,0.57556,0.3761,0.24641,1.06933,2.64818,1.0948,0.001802,0.001802,0.001802
14,23.4316,1.0488,1.23482,0.93714,0.42394,0.74359,0.39312,0.27821,0.96999,2.29107,1.01786,0.0017855,0.0017855,0.0017855
15,24.8315,1.01575,1.14766,0.93463,0.92425,0.93868,0.92175,0.61015,1.01848,1.52246,1.06074,0.001769,0.001769,0.001769
16,26.2174,1.02878,1.10488,0.92027,0.66937,0.92308,0.67439,0.4435,1.05939,1.44841,1.0787,0.0017525,0.0017525,0.0017525
17,27.588,0.94954,1.07359,0.92361,0.97415,0.96631,0.97442,0.68953,0.99197,1.22215,1.062,0.001736,0.001736,0.001736
18,28.9912,0.94531,1.0157,0.91425,0.97412,0.96528,0.98477,0.74183,0.89698,1.06584,0.99346,0.0017195,0.0017195,0.0017195
19,30.6759,0.94312,1.03072,0.90811,0.96886,0.94872,0.98095,0.70412,0.97809,0.88172,1.03811,0.001703,0.001703,0.001703
20,32.1719,0.97158,0.95399,0.93252,0.97237,0.97436,0.982,0.7079,0.9505,0.88282,1.03879,0.0016865,0.0016865,0.0016865
21,33.5735,0.92858,0.96905,0.90076,0.96818,0.94872,0.98272,0.71853,0.94863,0.94671,1.02926,0.00167,0.00167,0.00167
22,34.9466,0.94834,0.95839,0.93987,0.97428,0.97126,0.9841,0.72365,0.95462,0.73189,1.022,0.0016535,0.0016535,0.0016535
23,36.351,0.98176,0.93617,0.9368,0.97433,0.97319,0.98816,0.72201,0.91124,0.73302,1.02027,0.001637,0.001637,0.001637
24,37.7289,1.001,0.95659,0.91528,0.97045,0.97436,0.98887,0.74928,0.86962,0.68143,1.0211,0.0016205,0.0016205,0.0016205
25,39.2007,1.02804,0.8862,0.9126,0.99156,0.94872,0.98822,0.70884,0.91999,0.68512,0.99714,0.001604,0.001604,0.001604
26,40.6111,0.93849,0.80822,0.90702,0.99638,0.97436,0.99357,0.77887,0.87721,0.62991,1.00365,0.0015875,0.0015875,0.0015875
27,41.9768,0.9371,0.79556,0.91919,1,0.97203,0.98972,0.74322,0.79623,0.62971,0.98066,0.001571,0.001571,0.001571
28,43.4171,0.88253,0.74433,0.89954,1,0.9716,0.98918,0.73102,0.84948,0.63867,0.97266,0.0015545,0.0015545,0.0015545
29,44.7739,0.8594,0.76256,0.92158,0.99789,0.94872,0.98791,0.7467,0.82577,0.63599,0.96319,0.001538,0.001538,0.001538
30,46.1518,0.86567,0.74122,0.89137,1,0.97275,0.9906,0.75983,0.87519,0.60243,0.99359,0.0015215,0.0015215,0.0015215
31,47.7924,0.88168,0.72903,0.88953,1,0.97346,0.99196,0.77376,0.78143,0.57077,0.95134,0.001505,0.001505,0.001505
32,49.1691,0.81826,0.73208,0.8774,1,0.97362,0.99357,0.76231,0.81278,0.54888,0.9602,0.0014885,0.0014885,0.0014885
